gtap_code,china,canada,mexico,uk,japan,eu,row,ftrow
pdr,0,0,0,0,0,0,0,0
wht,0,0,0,0,0,0,0,0
gro,0,0,0,0,0,0,0,0
v_f,0,0,0,0,0,0,0,0
osd,0,0,0,0,0,0,0,0
c_b,0,0,0,0,0,0,0,0
pfb,0,0,0,0,0,0,0,0
ocr,0,0,0,0,0,0,0,0
ctl,0,0,0,0,0,0,0,0
oap,0,0,0,0,0,0,0,0
wol,0,0,0,0,0,0,0,0
frs,0.2056984498086768,5.002793509804043,0.008006637993269165,0,0,2.6598323669842676,0.17532219518123926,0.051923849865326985
fsh,0,0,0,0,0,0,0,0
coa,0,0,0,0,0,0,0,0
oil,0,0,0,0,0,0,0,0
gas,0,0,0,0,0,0,0,0
oxt,0,0,0,0,0,0,0,0
cmt,0,0,0,0,0,0,0,0
omt,0,0,0,0,0,0,0,0
vol,0,0,0,0,0,0,0,0
mil,0,0,0,0,0,0,0,0
pcr,0,0,0,0,0,0,0,0
sgr,0,0,0,0,0,0,0,0
ofd,0,0,0,0,0,0,0,0
b_t,0,0,0,0,0,0,0,0
tex,0,0,0,0,0,0,0,0
wap,0,0,0,0,0,0,0,0
lea,0,0,0,0,0,0,0,0
lum,0.13957572787770103,4.637510619569804,0.0184505912462385,0.004867381340921998,2.3305242429267325,3.5277741487439696,0.7749135210521233,1.6219112073011477
ppp,0,0,0,0,0,0,0,0
p_c,0,0,0,0,0,0,0,0
chm,0,0,0,0,0,0,0,0
bph,0,0,0,0,0,0,0,0
rpp,0.1952692171636147,0.03292900185948699,0.7737354201393102,0.5196283293742119,0.3937988689159409,0.3873389684306967,0.14404644167607747,0.16648599373729925
nmm,0.1515252840934254,0.034850853718905686,0.6703117481072527,0.15902588428774242,0.36553116466266117,0.04994829065703625,0.3038625245654374,1.8975648535777705
i_s,14.422867790516591,0.6174162621799446,2.6025101620358693,1.8964518668198982,1.2277155720973632,3.3276812957782327,3.0237679009681315,6.044090542728685
nfm,27.78284614584838,25.06322111801886,5.001117844184447,5.458008285065,13.103240007141123,19.550506037813697,14.828305861146152,9.433633436563973
fmp,30.76333936075323,30.377753384476726,29.497758321608824,11.239911749518,22.88138916239368,24.967400312301752,30.353942587380516,28.86119533954516
ele,3.0886304027431466,4.729977628048991,1.9785562017067084,1.2519764074709547,1.6939388202287025,2.4552612349336873,8.954268027853898,11.038061911334266
eeq,13.527425111175118,12.526743752869384,10.969447759785893,10.860295869974145,15.636467461837617,12.196417902200253,9.547249793938773,11.64193281274953
ome,10.56917668147089,9.166015324446478,13.59170266495841,5.018020898188022,6.630898291898002,6.918267523641345,7.6248674303746755,10.318801819760237
mvh,17.563024453733593,13.804798250491976,14.974387607747735,23.123625764983245,21.479538493390457,20.950835749468904,18.20295656047508,22.712427917230197
otn,10.467495220643427,4.416393775232433,17.296709465550506,8.004661732452384,16.721283781251117,7.752084554767958,7.536623479011396,23.422168812474375
omf,8.65328247300773,10.635455921790978,15.566780666927254,1.9427679254941141,3.3943362132369903,2.5383090140844855,4.601876173957144,1.4954448864688341
ely,0,0,0,0,0,0,0,0
