gtap_code,china,canada,mexico,uk,japan,eu,row,ftrow
pdr,0,0,0,0,0,0,0,0
wht,0,0,0,0,0,0,0,0
gro,0,0,0,0,0,0,0,0
v_f,0,0,0,0,0,0,0,0
osd,0,0,0,0,0,0,0,0
c_b,0,0,0,0,0,0,0,0
pfb,0,0,0,0,0,0,0,0
ocr,0,0,0,0,0,0,0,0
ctl,0,0,0,0,0,0,0,0
oap,0,0,0,0,0,0,0,0
wol,0,0,0,0,0,0,0,0
frs,0.2056984498086768,5.002793509804043,0.008006637993269165,0,0,2.6598323669842676,0.17532219518123926,0.051923849865326985
fsh,0,0,0,0,0,0,0,0
coa,0,0,0,0,0,0,0,0
oil,0,0,0,0,0,0,0,0
gas,0,0,0,0,0,0,0,0
oxt,0,0,0,0,0,0,0,0
cmt,0,0,0,0,0,0,0,0
omt,0,0,0,0,0,0,0,0
vol,0,0,0,0,0,0,0,0
mil,0,0,0,0,0,0,0,0
pcr,0,0,0,0,0,0,0,0
sgr,0,0,0,0,0,0,0,0
ofd,0,0,0,0,0,0,0,0
b_t,0,0,0,0,0,0,0,0
tex,0,0,0,0,0,0,0,0
wap,0,0,0,0,0,0,0,0
lea,0,0,0,0,0,0,0,0
lum,0.13957572787770103,4.637510619569804,0.0184505912462385,0.004867381340921998,2.3305242429267325,3.5277741487439696,0.7749135210521233,1.6219112073011477
ppp,0,0,0,0,0,0,0,0
p_c,0,0,0,0,0,0,0,0
chm,0,0,0,0,0,0,0,0
bph,0,0,0,0,0,0,0,0
rpp,0.48071798812336,2.3425981063804135,3.5910259824862254,1.5974201918514275,9.02490154830592,5.460318215980032,7.393502570916094,5.3546036014097
nmm,0.3170991287632566,0.049751814942808587,1.2247344360639776,0.24814844815919404,0.8246773097493113,0.10065053395430658,0.42710245726488527,3.297877153582765
i_s,14.422867790516591,0.6174162621799446,2.6025101620358693,1.8964518668198982,1.2277155720973632,3.3276812957782327,3.0237679009681315,6.044090542728685
nfm,27.78284614584838,25.06322111801886,5.001117844184447,5.458008285065,13.103240007141123,19.550506037813697,14.828305861146152,9.433633436563973
fmp,32.26645499164932,32.30305955617602,32.436354141361626,12.238951958407888,24.152844509782252,26.439689608128543,31.896287230984356,29.689827169264344
ele,3.2310314214638494,5.1277504197844355,2.1454027189633527,1.3577596350478471,2.0415221142134574,2.6014797186984993,9.014039885756095,11.152882229253537
eeq,14.281792259237614,13.054444791688038,11.729076320281093,11.033897014142749,18.260484105430578,13.098418564264922,10.517312415753437,13.919950476637485
ome,12.59191632671319,10.100674774507558,15.022084299940042,6.017707045569904,8.224505392311542,8.491233846281538,9.628139669804622,11.56973514093693
mvh,20.837468857150096,14.6326687512112,16.269936023072386,23.681491389374106,23.71477699836883,23.19080423124685,22.86623746886978,23.708483212916626
otn,10.467495220643427,4.416393775232433,17.296709465550506,8.004661732452384,16.721283781251117,7.752084554767958,7.536623479011396,23.422168812474375
omf,9.182463921317805,13.226667388046529,16.410891262274603,2.048577127502811,3.4117780957274393,3.1384461794786045,6.7555902848293465,1.5613951269998838
ely,0,0,0,0,0,0,0,0
