gtap_code,china,canada,mexico,uk,japan,eu,row,ftrow
pdr,0,35,0,0,15,0,10,0
wht,0,35,25,10,0,15,10.000000000000002,13.601224460047131
gro,20.000000000000004,35,25,10,15,15,10,10.020630309524382
v_f,20,35,25,10,15,15,10,11.110661539623292
osd,20.000000000000004,35,25,10,15,15,10.000000000000002,10.356461671440414
c_b,20,35,25,0,0,15,10,21.90001576485838
pfb,20,35,25,10,15,15,10,21.607476747710788
ocr,20,35,25,10,15,15,10,11.141394041941185
ctl,0,35,25,10,15,14.999999999999996,10.000000000000002,10.115512680163707
oap,20,35,25,10,15.000000000000002,15,10,10.44327651725165
wol,20.000000000000004,35,25,10,0,15,10,10.000000000000002
frs,19.75045939669495,22.358526688557355,24.853625338312085,9.87594014642577,14.990860572963092,13.634153481250236,9.998077419233653,11.048331931776655
fsh,18.339909059658115,35,24.9003008443217,9.999856675998632,14.997972733947348,14.969827701293864,9.941384860227457,11.612171314966833
coa,0,0,0,0,0,0,0,0
oil,0,0,0,0,0,0,0,0
gas,0,0,0,0,0,0,0,0
oxt,3.6504970899265197,22.528431088418735,11.742312543155657,9.199075875906617,6.707069486645582,11.873520403320734,6.405618200434526,1.7404579983358668
cmt,20.000000000000004,35,25,10,15,15,10,10.692470958798424
omt,20,35,25,10,15,15,10,10.31272688525579
vol,20,35,25,10,15,15,10.000000000000002,10.941264933232995
mil,20,35,25,10,15,15,10,13.52509213103642
pcr,20,35,25,10.000000000000002,15,15,10,13.934996293998001
sgr,20,35,25,10,15,15,10,13.049158648459494
ofd,20,35,25,10,15,15,10,11.242351051002805
b_t,20,35,25,10,15,15,10.000000000000002,18.311066522156512
tex,20,35,25,10,15,15,10,14.574715312120507
wap,20,35,25,10,15,15,10,13.110490475229804
lea,20,35,25,10,15,15,10,17.611697799539343
lum,19.772972959453003,22.104525058580013,24.953634711702467,8.12388293345983,12.303579924376168,12.926097406007193,9.924123838834026,10.07799467813818
ppp,14.152387180246276,27.920658237283323,20.794957902768825,4.121766466777183,12.000424255966836,12.602242203442483,6.225399938023004,12.610546195714928
p_c,0.32816719154226376,0.995256338688983,0,2.9829627050326022e-5,0,1.40030056075252,0.016769857219482504,0.1149395412530072
chm,11.635760606275662,25.535553145882023,21.617244857272638,6.187941276702718,11.189056601146449,10.940009762060795,7.664758584694444,11.240004055403787
bph,1.479568650706215,0.08790475249206904,6.470151984600728,0.24327514383400733,0.24350127858473034,0.049807747905658624,0.15690175654031155,0.13040256803961772
rpp,20.047619100768,31.625416326449564,22.879609243667375,10.61749088808139,18.283711702882602,16.94962147160271,13.531426623972214,16.469380928434934
nmm,19.81914695843299,33.32846180024105,22.96489931828665,10.14478502289482,15.323797372285707,14.856556196525442,10.22113197844833,13.932665693360228
i_s,28.705784976969746,34.1611893743413,25.513068233986658,11.039911204391029,15.71510132442307,17.10016382084418,11.34194632556623,18.1224999322926
nfm,30.522419954817266,27.56203751389659,9.23601143178969,6.7264050824554475,15.039620943756654,22.05546764279011,13.637564069373177,9.803657432113171
fmp,38.85239322373885,41.499508814383056,37.81917303490931,16.934269775938173,30.330602516789394,32.94824538248534,34.64228152252105,34.73751555621995
ele,12.70424262140477,28.429618164597798,16.231968904915373,10.85454432965952,12.68251454495898,13.705753600859074,9.989435770999055,8.082819729389726
eeq,24.383140670796035,28.885596930675938,19.96572554621413,15.994319455713537,20.21642925626048,19.50201980724197,16.1271911554945,20.474479537724932
ome,24.560856507188305,35.058481600254574,25.102759772678528,12.781615989109657,19.386823376333304,18.721309665632983,15.194901574785996,20.69379792227282
mvh,22.88179765452864,16.10651382975089,17.216001617124142,23.481973209312084,23.467646239432554,23.311790744104425,21.742795398677185,23.58664682310812
otn,20.181772604342978,35.348740321988274,25.616909840779062,11.875705950975632,15.565250699524405,16.259658828617383,11.581913331572471,18.597107461953836
omf,24.222993594133964,23.208980148764002,26.287749831031192,9.75900542647036,15.643209849296568,15.777559563995394,10.945504301059161,13.930529031803927
ely,0,0,0,0,0,0,0,0
