gtap_code,china,canada,mexico,uk,japan,eu,row,ftrow
pdr,0,0.016168250000001546,0,0,15,0,25,0
wht,0,0.016168250000001546,0.0078059749999997985,10,0,15,10.136395712297515,13.601224460047131
gro,19.432049558667515,0.015119323923653172,0.007790650969749456,10,15,14.995778614464847,12.38936474953864,9.975707840595307
v_f,16.93021747295215,0.013826405751959134,0.0044292343777879465,9.58739376184778,14.689303261516937,12.16579269344646,4.349541132368642,6.004997947824404
osd,20.000000000000004,0.016168250000001546,0.0078059749999997985,0.05682239060256107,15,13.004492405654691,13.47985883983775,10.356461671440414
c_b,20,0.01616825000000155,0.0078059749999997985,0,0,15,15.362236363924902,21.90001576485838
pfb,20,0.016168250000001546,0.0078059749999997985,10,15,15,23.513633966729614,21.607476747710788
ocr,8.135189015435252,0.01591164539185482,0.002058379339095423,8.41864011140403,2.0142271023999103,12.439020240849862,2.7309638409267882,3.5877334075984626
ctl,0,0.016317419999998806,0.007228924999999609,10,15,14.999999999999996,14.868404618598912,10.115512680163707
oap,19.96686182887125,0.01630753492751026,0.007228924999999609,10,15.000000000000002,14.998871464545088,14.945170770621683,10.44327651725165
wol,20.000000000000004,0.13104283500000033,0.7789229749999986,10,0,15,10.307096530966927,10.000000000000002
frs,14.654174971798618,5.066055847240368,0.20095279986795744,9.51887959599887,5.913480090717276,12.855964966473552,12.340192143900381,9.317861432436043
fsh,18.339909059658115,0.01789220999999952,0,9.999856675998632,14.997972733947348,14.969827701293864,13.374254743981941,11.612171314966833
coa,0,0,0,0,0,0,0,0
oil,0,0,0,0,0,0,0,0
gas,0,0,0,0,0,0,0,0
oxt,3.6504970899265197,0.8418572140912569,0.016219010488671397,9.199075875906617,6.707069486645582,11.873520403320734,10.189481688238134,1.7404579983358668
cmt,20.000000000000004,0.01086735749691244,3.7733664911672064e-4,1.6810051002872841,0,6.44438149362464,1.2113250841522198,2.5435838205669334
omt,19.992929138362584,0.8973991464513063,0.13151654105281196,10,15,14.995697924799089,2.8214865205670856,9.7809603450133
vol,19.44897558719276,0.928704544093428,0.13577233288901489,9.79731132864701,14.68953078970009,14.988201327520112,14.538314921392399,10.878639090809306
mil,20,0.9290129799999991,0.13673027499999935,10,15,15,15.307747247797785,13.52509213103642
pcr,20,0.9290129799999991,0.13673027499999935,10.000000000000002,15,15,20.42983272170006,13.934996293998001
sgr,20,0.9290129799999991,0.13673027499999932,10,15,15,11.332432199032125,13.049158648459494
ofd,16.365123782931107,0.6619321087347924,0.10471797147434585,6.664838403259692,11.448357310861791,11.832614173571658,12.997914015825126,6.608095070058573
b_t,20,1.3097253750000015,1.4059142999999996,9.999948939073134,14.999793838995823,14.999896996800983,15.419740221197669,18.2998883950081
tex,20,32.437240499999994,22.26548525,10,15,15,21.092599294344613,14.574715312120507
wap,20,9.744429519999997,0.8287916000000006,10,15,15,19.66742773830286,13.110490475229804
lea,20,1.9334552650000014,0.3865607250000014,10,15,15,19.95351676058311,17.611697799539343
lum,19.772972959453003,4.661211442967944,0.35708722285131644,8.12388293345983,12.303579924376168,12.926097406007193,15.612101752001948,10.07799467813818
ppp,14.152387180246276,0.3474857423930218,2.1871352544269738,4.121766466777183,12.000424255966836,12.602242203442483,11.63075090913244,12.610546195714928
p_c,0.32816719154226376,0.029127065515643584,0,2.9829627050326022e-5,0,1.40030056075252,0.025811663812213458,0.1149395412530072
chm,11.54633372044934,0.6559412729977869,0.9843186778991545,6.114754256898558,11.150635557681229,10.775624293839554,12.577100781465914,10.68472418648854
bph,1.479568650706215,0.0023524821970525526,0.30424925007924,0.24327514383400733,0.24350127858473034,0.049807747905658624,0.43591191519519024,0.13040256803961772
rpp,20.047619100768,2.863153334985657,4.102197394144075,10.61749088808139,18.283711702882602,16.94962147160271,19.854397154197397,16.469380928434934
nmm,19.81914695843299,0.7388003748594418,0.8052605740276926,10.14478502289482,15.323797372285707,14.856556196525442,19.399055729164477,13.932665693360228
i_s,28.705784976969746,17.999737280606382,6.318344890396715,11.039911204391029,15.71510132442307,17.10016382084418,15.502116334290003,18.1224999322926
nfm,30.522419954817266,26.358556804007883,5.6928375624349385,6.7264050824554475,15.039620943756654,22.05546764279011,13.81034114164256,9.803657432113171
fmp,38.85239322373885,35.72881596983861,33.75649144625867,16.934269775938173,30.330602516789394,32.94824538248534,38.54853911273665,34.73751555621995
ele,12.70424262140477,8.255191810774155,9.267133227256345,10.85454432965952,12.68251454495898,13.705753600859074,14.646811643178639,8.082819729389726
eeq,24.383140670796035,11.70075545681632,8.010521770882383,15.994319455713537,20.21642925626048,19.50201980724197,23.36435748755498,20.474479537724932
ome,24.560856507188305,9.42171310728721,15.328523430291074,12.781615989109657,19.386823376333304,18.721309665632983,24.571350142483293,20.69379792227282
mvh,22.88179765452864,13.821921944131784,15.395848631071637,23.481973209312084,23.467646239432554,23.311790744104425,23.94426409592481,23.58664682310812
otn,20.181772604342978,4.114588780646581,8.195223839480718,11.875705950975632,15.565250699524405,16.259658828617383,20.5251510295332,18.597107461953836
omf,24.222993594133964,22.134983775970085,23.894362434292876,9.75900542647036,15.643209849296568,15.777559563995394,18.574656990283444,13.930529031803927
ely,0,0,0,0,0,0,0,0
