gtap_code,china,canada,mexico,japan,uk,eu,row,ftrow,kr,vn
b_t,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
bph,0.2,0.35,0.25,0,0,0,0,0,0.151,0.273
c_b,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
chm,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
cmt,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
coa,0.2,0.1,0.25,0,0,0,0,0,0.151,0.273
ctl,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
eeq,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
ele,0.214838233,0.043067791,0.002175053,0.052772377,0.073411363,0.092736817,0.045313707,0.022227413,0.151,0.273
ely,0.2,0.1,0.25,0,0,0,0,0,0.151,0.273
fmp,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
frs,0.2,0.35,0.25,0,0,0,0,0,0.151,0.273
fsh,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
gas,0.2,0.1,0.25,0,0,0,0,0,0.151,0.273
gdt,0.2,0.1,0.25,0,0,0,0,0,0.151,0.273
gro,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
i_s,0,0,0,0,0,0,0,0,0.151,0.273
lea,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
lum,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
mil,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
mvh,0,0,0,0,0,0,0,0,0.151,0.273
nfm,0,0,0,0,0,0,0,0,0.151,0.273
nmm,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
oap,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
ocr,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
ofd,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
oil,0.2,0.1,0.25,0,0,0,0,0,0.151,0.273
ome,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
omf,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
omt,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
osd,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
otn,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
oxt,0.2,0.1,0.25,0,0,0,0,0,0.151,0.273
p_c,0.2,0.1,0.25,0,0,0,0,0,0.151,0.273
pcr,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
pdr,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
pfb,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
ppp,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
rpp,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
sgr,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
tex,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
v_f,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
vol,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
wap,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
wht,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
wol,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1,0.151,0.273
